execution_time,pes_number,file_size,output_size,cpu_request,memory_request,priority
100000,1,0.05,0.05,0.007767,0.0000286,0.03125
150000,1,0.075,0.075,0.006401,0.00003052,0.0125
200000,2,0.1,0.1,0.01131,0.00001907,0.006248
250000,1,0.125,0.125,0.01825,0.001791,0.09692
300000,2,0.15,0.15,0.04773,0.0003862,0.009369
120000,1,0.06,0.06,0.007767,0.0000286,0.03125
180000,1,0.09,0.09,0.0202,0.00005245,0.1875
220000,2,0.11,0.11,0.07959,0.0003862,0.02499
280000,1,0.14,0.14,0.006836,0.00001907,0.03125
350000,2,0.175,0.175,0.02795,0.0001926,0.03125
